"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 09:10:38 GMT 2024","Sun Jan 14 09:10:40 GMT 2024","1326","test","test_hootel","TestHootel","","","test_email_in_profile",""
"broken","Sun Jan 14 09:10:43 GMT 2024","Sun Jan 14 09:10:54 GMT 2024","11175","test","test_hootel","TestHootel","","","test_editing_address",""
"failed","Sun Jan 14 09:10:31 GMT 2024","Sun Jan 14 09:10:32 GMT 2024","836","test","test_hootel","TestHootel","","","test_description_length",""
"passed","Sun Jan 14 09:10:35 GMT 2024","Sun Jan 14 09:10:35 GMT 2024","792","test","test_hootel","TestHootel","","","test_name_in_profile",""
"broken","Sun Jan 14 09:10:08 GMT 2024","Sun Jan 14 09:10:20 GMT 2024","11380","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 09:10:27 GMT 2024","Sun Jan 14 09:10:28 GMT 2024","926","test","test_hootel","TestHootel","","","test_checkboxes",""
"passed","Sun Jan 14 09:10:04 GMT 2024","Sun Jan 14 09:10:05 GMT 2024","1290","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 09:10:23 GMT 2024","Sun Jan 14 09:10:24 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
